# Tabulated spectral data for IOPs
# aw from (Buiteveld et al, 1994),
# A and B from (Bricaud et al, 1995)
# Wavelength (nm), aw (/m), A, B
400,0.0058,0.0263,0.282
402,0.0059,0.0271,0.281
404,0.0061,0.0280,0.282
406,0.0063,0.0290,0.281
408,0.0065,0.0301,0.282
410,0.0067,0.0313,0.283
412,0.0069,0.0323,0.286
414,0.0072,0.0333,0.291
416,0.0074,0.0342,0.293
418,0.0076,0.0349,0.296
420,0.0079,0.0356,0.299
422,0.0082,0.0359,0.306
424,0.0084,0.0362,0.313
426,0.0087,0.0369,0.316
428,0.0089,0.0376,0.317
430,0.0092,0.0386,0.314
432,0.0094,0.0391,0.318
434,0.0097,0.0395,0.324
436,0.0099,0.0399,0.328
438,0.0102,0.0401,0.332
440,0.0104,0.0403,0.332
442,0.0106,0.0398,0.339
444,0.0108,0.0390,0.348
446,0.0110,0.0383,0.355
448,0.0112,0.0375,0.360
450,0.0114,0.0371,0.359
452,0.0116,0.0365,0.362
454,0.0118,0.0358,0.366
456,0.0120,0.0354,0.367
458,0.0122,0.0351,0.368
460,0.0124,0.0350,0.365
462,0.0126,0.0347,0.366
464,0.0128,0.0343,0.368
466,0.0130,0.0339,0.369
468,0.0133,0.0335,0.369
470,0.0135,0.0332,0.368
472,0.0138,0.0325,0.371
474,0.0141,0.0318,0.375
476,0.0144,0.0312,0.378
478,0.0148,0.0306,0.379
480,0.0152,0.0301,0.377
482,0.0157,0.0296,0.377
484,0.0162,0.0290,0.376
486,0.0167,0.0285,0.373
488,0.0174,0.0279,0.369
490,0.0181,0.0274,0.361
492,0.0189,0.0267,0.356
494,0.0198,0.0258,0.349
496,0.0209,0.0249,0.341
498,0.0223,0.0240,0.332
500,0.0238,0.0230,0.321
502,0.0255,0.0220,0.311
504,0.0273,0.0209,0.300
506,0.0291,0.0199,0.288
508,0.0310,0.0189,0.275
510,0.0329,0.0180,0.260
512,0.0349,0.0171,0.249
514,0.0368,0.0163,0.237
516,0.0386,0.0156,0.224
518,0.0404,0.0149,0.211
520,0.0409,0.0143,0.196
522,0.0416,0.0137,0.184
524,0.0409,0.0131,0.173
526,0.0427,0.0126,0.162
528,0.0423,0.0121,0.151
530,0.0429,0.0117,0.139
532,0.0445,0.0113,0.129
534,0.0456,0.0108,0.119
536,0.0470,0.0104,0.109
538,0.0480,0.0100,0.100
540,0.0495,0.0097,0.090
542,0.0503,0.0093,0.081
544,0.0527,0.0090,0.073
546,0.0544,0.0086,0.066
548,0.0564,0.0083,0.059
550,0.0588,0.0080,0.052
